Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -d sgNT_MC38_1/ sgNT_MC38_2/ sgArid1a_MC38_1/ sgArid1a_MC38_2/ -tpm)	chr	start	end	strand	Length	Copies	Annotation/Divergence	sgNT_MC38_1/ TPM	sgNT_MC38_2/ TPM	sgArid1a_MC38_1/ TPM	sgArid1a_MC38_2/ TPM
NM_022410	chr15	77760585	77842175	-	7392	1	Myh9|Fltn|Myhn-1|Myhn1|NMHCIIA|NMMHC-A|NMMHC-IIA|TU72.6|-|15 E1|15 36.81 cM|protein-coding	123.265	118.597	125.46	125.058
NM_033218	chr15	82147269	82204960	+	4549	1	Srebf2|AI608257|SREBP-2|SREBP2|SREBP2gc|bHLHd2|lop13|nuc|-|15|15 E1|protein-coding	123.127	111.827	114.827	114.68
NM_028451	chr11	58009064	58062032	+	6594	1	Larp1|1810024J12Rik|3110040D16Rik|Larp|mKIAA0731|-|11|11 B1.3|protein-coding	123.051	120.33	127.164	120.562
NM_007506	chr11	96072793	96075694	-	791	1	Atp5g1|-|-|11|11 D|protein-coding	123.044	127.937	131.381	128.751
NM_007859	chr4	153964449	153975081	-	2039	1	Dffb|40kDa|5730477D02Rik|CAD|CPAN|DFF40|Didff|-|4|4 E2|protein-coding	122.893	126.773	116.912	103.123
NM_178616	chr11	80428615	80472133	+	1728	1	Psmd11|1700089D09Rik|1810019E17Rik|2610024G20Rik|2810055C24Rik|C78232|P44.5|S9|-|11|11 B5|protein-coding	122.881	114.65	120.72	117.792
NM_008162	chr10	80053488	80056439	+	950	1	Gpx4|GPx-4|GSHPx-4|PHGPx|mtPHGPx|snGPx|-|10 C1|10 39.72 cM|protein-coding	122.88	124.704	117.069	127.404
NM_001172113	chr17	24508850	24527938	-	2692	1	Traf7|RFWD1|-|17|17 A3.3|protein-coding	122.829	125.237	128.173	131.812
NM_016898	chr10	41519500	41531042	+	2822	1	Cd164|A115|A24|AA589639|AW540279|MGC-24|MSSP|-|10 B2|10 22.46 cM|protein-coding	122.622	120.833	120.33	124.548
NM_019776	chr6	28480348	28888832	+	3456	1	Snd1|AL033314|Tudor-SN|-|6|6 A3.3|protein-coding	122.424	126.296	118.214	121.886
NM_020619	chr6	83115506	83118898	+	2764	1	Mogs|1810017N02Rik|AI181835|Gcs1|-|6|6 C3|protein-coding	122.386	129.307	136.762	139.123
NM_026602	chr3	103171711	103179154	+	1404	1	Bcas2|6430539P16Rik|AI132645|C76366|C80030|-|3|3 F2.2|protein-coding	122.26	113.557	118.387	115.94
NM_153547	chr14	31012433	31019131	-	1909	1	Gnl3|Ns|-|14 B|14 19.09 cM|protein-coding	122.15	127.257	114.925	108.385
NM_019946	chr6	138140537	138156752	+	937	1	Mgst1|1500002K10Rik|Gst|-|6|6 G1|protein-coding	121.976	123.692	70.697	78.639
NM_001171582	chr10	127296221	127311786	-	2939	1	Mars|Metrs|Mtrns|-|10|10 D3|protein-coding	121.898	126.173	124.741	122.021
NM_001310640	chr3	89454541	89469009	+	972	1	Pmvk|1110011E12Rik|2900002L22Rik|AV001327|PMK|PMKA|PMKASE|-|3|3 F1|protein-coding	121.726	105.729	136.146	135.33
NM_016813	chr19	8757103	8770910	+	2261	1	Nxf1|Mex67|Mvb1|Tap|-|19 A|19 5.5 cM|protein-coding	121.573	127.267	132.043	123.853
NM_009942	chr1	36691487	36693388	+	563	1	Cox5b|-|-|1|1 B|protein-coding	121.548	126.001	133.583	139.837
NM_153151	chr17	12923959	12940396	-	1980	1	Acat3|ACTL|-|17 A1|17 8.72 cM|protein-coding	121.545	119.449	114.103	109.38
NM_016792	chr18	63662801	63692359	-	2548	1	Txnl1|32kDa|TRP32|Txnl|-|18|18 E1|protein-coding	121.477	120.495	120.688	120.403
NM_022331	chr8	94386500	94395358	+	1861	1	Herpud1|Herp|Mifl|SUP|-|8|8 C5|protein-coding	121.206	116.887	114.787	118.407
NM_001286542	chr4	41738493	41741359	-	1308	1	Sigmar1|Oprs1|Sig1R|sigma1R|-|4|4 A5|protein-coding	121.122	122.982	111.627	110.955
NM_025933	chr13	54590231	54591147	+	609	1	Higd2a|2010110M21Rik|AA690237|-|13|13 B1|protein-coding	121.101	136.171	149.937	141.696
NM_153806	chr3	122274414	122285271	+	2394	1	Dnttip2|4930588M11Rik|AA408582|AU014960|HSU15552|-|3|3 G1|protein-coding	121.004	113.281	111.38	116.621
NM_153150	chr16	17925211	17928219	-	1667	1	Slc25a1|1300019P08Rik|2610100G11Rik|AI194714|Ctp|Dgsj|Slc20a3|-|16 A3|16 11.11 cM|protein-coding	120.996	106.001	112.742	110.758
NM_021500	chr5	33335572	33373294	+	2117	1	Maea|1110030D19Rik|EMP|Gid9|-|5|5 B1|protein-coding	120.471	120.484	127.03	132.013
NM_008033	chr8	25998722	26015601	-	1870	1	Fnta|FTA|-|8 A2|8 14.27 cM|protein-coding	120.315	112.813	114.072	122.407
NM_025645	chr4	130360132	130390030	+	1576	1	Snrnp40|0610009C03Rik|Prp8bp|Wdr57|-|4|4 D2.2|protein-coding	120.137	115.926	125.711	126.664
NM_013902	chr12	65062432	65073938	-	936	1	Fkbp3|25kDa|FKBP-3|FKBP25|-|12|12 C1|protein-coding	120.11	120.47	126.936	120.929
NM_001161712	chr15	79030874	79042531	+	1752	1	Gcat|AI526977|Kbl|-|15 E1|15 37.7 cM|protein-coding	120.049	125.788	107.012	108.742
NM_001317350	chr7	131560494	131571892	+	2017	1	Bub3|AU019800|AU021329|AU043350|AW146323|C78067|-|7 F3|7 74.36 cM|protein-coding	120.029	125.892	115.626	113.555
NM_145610	chr9	20888175	20892179	+	1658	1	Ppan|A230087P06Rik|SSF1|-|9|9 A3|protein-coding	119.919	135.158	141.762	137.805
NM_026352	chr3	79591389	79603650	+	1716	1	Ppid|4930564J03Rik|CYP-40|Ppidl|Ppif|-|3|3 E3|protein-coding	119.887	131.588	118.465	110.697
NM_011886	chr3	89177391	89182770	+	1565	1	Scamp3|Sc3|-|3|3 F1|protein-coding	119.879	125.77	125.333	119.946
NM_001276406	chr11	70943058	70969973	-	2448	1	Nup88|Nup84|Prei2|-|11 B4|11 43.21 cM|protein-coding	119.451	117.021	110.661	111.245
NM_025605	chr7	101905837	101911903	+	1179	1	Lamtor1|2400001E08Rik|Pdro|p18|-|7|7 E2|protein-coding	119.376	119.49	126.547	123.095
NM_029701	chr8	54520433	54529998	-	3459	1	Spcs3|1810011E08Rik|SPC22/23|-|8|8 B1.3|protein-coding	119.366	112.487	111.611	106.958
NM_016895	chr4	128993224	129011529	+	1772	1	Ak2|Ak-2|D4Ertd220e|-|4 D2.2|4 62.62 cM|protein-coding	119.343	130.168	137.443	131.153
NM_053110	chr6	49036518	49058182	+	3785	1	Gpnmb|DC-HIL|Dchil|ipd|-|6 B2.3|6 23.82 cM|protein-coding	119.341	110.68	67.758	67.582
NM_011962	chr5	136987019	136996646	+	3257	1	Plod3|AI414586|LH3|-|5 G2|5 76.09 cM|protein-coding	119.001	121.216	126.37	130.925
NM_016957	chr4	133964739	133967991	-	1246	1	Hmgn2|HMG-17|Hmg17|-|4 D3|4 66.47 cM|protein-coding	118.841	108.139	128.156	121.76
NM_011830	chr9	108560501	108565566	+	1609	1	Impdh2|IMPD|-|9|9 F2|protein-coding	118.746	125.79	118.034	112.399
NM_001199432	chr9	20907206	20959888	-	5210	1	Dnmt1|Cxxc9|Dnmt|Dnmt1o|MCMT|MTase|Met-1|Met1|MommeD2|m.MmuI|-|9 A3|9 7.66 cM|protein-coding	118.708	117.474	121.43	118.36
NM_029976	chr11	51967631	51977336	+	1859	1	Cdkn2aipnl|A430101B06Rik|AA409260|D11Ertd497e|MNCb-1520|-|11 B1.3|11 31.78 cM|protein-coding	118.398	120.698	122.429	126.371
NM_025358	chr6	126821863	126849144	-	1309	1	Ndufa9|1010001N11Rik|-|6|6 F3|protein-coding	117.844	107.514	107.363	111.084
NM_021354	chr11	60454617	60468705	+	1698	1	Drg2|AI255295|AI461605|-|11 B2|11 37.81 cM|protein-coding	117.771	118.188	120.706	113.026
NM_008928	chr11	60932057	60952803	+	2152	1	Map2k3|AW212142|MEK3|MKK3|Prkmk3|mMKK3b|-|11|11 B2|protein-coding	117.71	115.805	107.808	107.473
NM_001286103	chr19	8883878	8890759	+	1142	1	Lbhd1|Gm21743|-|19 A|19|protein-coding	117.705	124.361	127.587	131.008
NM_138599	chr16	57121714	57154530	+	3764	1	Tomm70a|2610044B22Rik|D16Ium22|D16Ium22e|D16Wsu109e|Tom70|Tomm70|mKIAA0719|-|16 C1.1|16 34.22 cM|protein-coding	117.6	124.039	108.137	113.662
NM_026768	chr17	46111004	46128908	+	856	1	Mrps18a|1110004O20Rik|C79712|-|17|17 C|protein-coding	117.564	123.725	110.223	114.229
NM_008908	chr18	53406341	53418007	-	1279	1	Ppic|CyP-20c|-|18|18 D1|protein-coding	117.461	121.865	123.899	117.523
NM_031373	chr2	180589407	180595837	+	2279	1	Ogfr|2010013E17Rik|-|2|2 H4|protein-coding	117.332	122.066	172.533	175.43
NM_010256	chr16	91621397	91646972	-	3303	1	Gart|Gaps|Prgs|-|16 C3.3|16 53.18 cM|protein-coding	116.996	122.121	110.811	118.371
NM_011121	chr7	122159435	122169884	+	2202	1	Plk1|Plk|STPK13|-|7 F2|7 65.52 cM|protein-coding	116.93	113.889	112.949	103.633
NM_012019	chrX	48474944	48513563	-	2219	1	Aifm1|AIF|AIFsh2|Hq|Pdcd8|-|X A5|X 25.68 cM|protein-coding	116.877	112.373	110.236	108.458
NM_008053	chr3	34020079	34069344	+	2047	1	Fxr1|1110050J02Rik|9530073J07Rik|AI851072|Fxr1h|Fxr1p|-|3|3 A3|protein-coding	116.795	115.191	111.259	120.171
NM_178614	chr15	84192233	84214303	+	1656	1	Samm50|1110030L07Rik|-|15|15 E2|protein-coding	116.764	124.202	130.373	132.049
NM_025615	chr8	124839355	124863029	-	1373	1	2810004N23Rik|3110004G14Rik|Ayu21-55|Gt(pU21)55Imeg|GtAyu21-55|-|8|8 E2|protein-coding	116.749	122.982	117.519	120.19
NM_029573	chr9	54586511	54604662	+	2391	1	Idh3a|1110003P10Rik|1500012E04Rik|AA407078|AI316514|-|9|9 A5.3|protein-coding	116.586	111.214	107.643	108.799
NM_001046637	chr7	27187006	27195760	-	1281	1	Snrpa|C430021M15Rik|Rnu1a-1|Rnu1a1|U1-A|U1A|-|7|7 A3|protein-coding	116.492	118.109	117.538	108.591
NM_009004	chr18	34624936	34633277	+	3452	1	Kif20a|AA415432|Rab6kifl|-|18 B1|18 18.69 cM|protein-coding	116.485	104.569	113.114	106.566
NM_019817	chr15	103272918	103299864	+	1653	1	Copz1|5930435A22Rik|AA407760|D4Ertd360e|-|15 F3|15 58.74 cM|protein-coding	116.455	101.459	119.58	114.747
NM_010613	chr17	57021049	57031507	-	3979	1	Khsrp|6330409F21Rik|Fbp2|Fubp2|Ksrp|-|17 D|17 29.63 cM|protein-coding	116.413	112.207	121.081	113.259
NM_178856	chr8	120581266	120589075	-	1031	1	Gins2|2210013I18Rik|4833427B12Rik|AI323585|Pfs2|-|8|8 E1|protein-coding	116.294	124.598	125.408	122.286
NM_010888	chr13	73319876	73328482	-	500	1	Ndufs6|BC059730|IP13|-|13|13 C1|protein-coding	116.161	116.756	119.723	115.431
NM_025338	chr4	155831269	155833098	+	1203	1	Aurkaip1|0610033H09Rik|Aip|Akip|MRP-S38|-|4 E2|4 87.55 cM|protein-coding	116.158	123.75	113.54	122.852
NM_028633	chrX	73437315	73459029	-	1353	1	Haus7|1110020L19Rik|Uchl5ip|Uip1|-|X|X A7.3|protein-coding	116.031	111.929	132.394	136.566
NM_023429	chr5	73292794	73314077	+	1518	1	Ociad1|6030432N09Rik|AI481327|AW557942|Asrij|B230209J16Rik|BB021357|Emi2|Imi2|OCIA|TPA018|-|5|5 C3.2|protein-coding	116.015	112.833	115.601	114.247
NM_016978	chr7	132557475	132576398	-	2143	1	Oat|AI194874|rhg|-|7 F3|7 76.3 cM|protein-coding	115.99	114.826	121.093	114.853
NM_146032	chr11	116245166	116274217	-	2508	1	Srp68|2610024I03Rik|-|11|11 E2|protein-coding	115.962	121.107	122.855	119.196
NM_001166368	chr19	6977739	6980461	-	621	1	Fkbp2|13kDa|FKBP-2|mFKBP13|mFKBP2|-|19|19 A|protein-coding	115.752	124.346	116.213	110.535
NM_026277	chr8	107412489	107425038	-	1636	1	Nob1|1700021I09Rik|ART-4|Nob1p|Psmd8bp1|-|8|8 D3|protein-coding	115.643	122.231	132.245	125.7
NM_011590	chr1	135301535	135313737	-	909	1	Timm17a|17kDa|mTim17a|-|1|1 E4|protein-coding	115.612	121.222	107.473	109.264
NM_001079694	chr12	80945499	80950506	+	1521	1	Srsf5|Sfrs5|-|12|12 C3|protein-coding	115.502	120.962	121.467	115.311
NR_102282	chr1	10024600	10038159	-	1731	1	Cops5|AI303502|CSN5|Jab1|Mov34|Sgn5|-|1 A2|1 2.29 cM|protein-coding	115.443	108.431	119.545	123.819
NM_011189	chr14	55578494	55581527	+	964	1	Psme1|AW413925|PA28a|-|14 C3|14 28.19 cM|protein-coding	115.428	108.087	123.249	117.126
NM_007684	chr13	81783292	81797157	+	1006	1	Cetn3|MmCEN3|-|13|13 C3|protein-coding	115.182	111.803	114.479	115.578
NM_008234	chr19	38930990	38968277	+	2995	1	Hells|AI323785|E130115I21Rik|LSH|Lysh|PASG|YFK8|-|19|19 C3|protein-coding	114.771	115.235	110.894	116.793
NM_009085	chr17	46243920	46248045	-	1294	1	Polr1c|40kDa|AA409007|AA959927|AL024089|Polr1e|RPA40|Rpo1-1|-|17|17 C|protein-coding	114.655	116.592	116.474	109.557
NM_029565	chr4	107178630	107200996	+	1534	1	Tmem59|1110001M20Rik|3110046P06Rik|AI256529|D4Ertd20e|MTDCF1|ORF18|-|4 C7|4 50.12 cM|protein-coding	114.617	109.33	115.089	117.712
NM_144886	chr2	31670715	31681352	+	1678	1	Exosc2|Rrp4|-|2|2 B|protein-coding	114.548	112.367	115.987	114.039
NM_007951	chr12	80634021	80644111	-	1058	1	Erh|Mer|Prei1|-|12|12 C3|protein-coding	114.413	120.878	115.601	124.859
NM_001033305	chr4	40270591	40279421	-	653	1	Ndufb6|CI-B17|Gm137|-|4|4 A5|protein-coding	114.262	101.859	114.706	114.986
NM_026636	chr8	71396855	71404772	+	1581	1	Babam1|5430437P03Rik|Merit40|-|8 B3.3|8|protein-coding	114.211	105.538	110.899	110.137
NM_024499	chr10	81044073	81060154	-	1933	1	Sgta|5330427H01Rik|AI194281|D10Ertd190e|Sgt|Stg|-|10 C1|10 39.72 cM|protein-coding	114.163	117.259	124.03	117.765
NM_001316742	chr17	46646221	46650132	+	896	1	Mrpl2|CGI-22|L2mt|MRP-L14|MRP-L2|Rpml14|-|17|17 C|protein-coding	114.08	115.175	123.276	118.823
NM_007456	chr8	72240018	72257386	+	2071	1	Ap1m1|AA408894|AP47|Adtm1A|Cltnm|mu1A|-|8 B3.3|8 34.92 cM|protein-coding	113.983	109.376	121.194	119.252
NM_026591	chr3	87919544	87923433	+	941	1	Mrpl24|2010005E08Rik|2810470K06Rik|6720473G22Rik|AA407670|-|3|3 F1|protein-coding	113.972	125.745	140.631	144.552
NM_183256	chr15	99725618	99728136	+	719	1	Cox14|2310016M24Rik|AA959804|-|15|15 F1|protein-coding	113.971	126.455	135.451	138.137
NM_016794	chr6	72385221	72390667	-	781	1	Vamp8|AU041171|Edb|endobrevin|-|6 C1|6 32.27 cM|protein-coding	113.759	121.534	130.145	135.96
NM_001297606	chr8	84834652	84840665	-	2090	1	Rad23a|2310040P19Rik|AL024030|HR23A|mHR23A|-|8|8 C2|protein-coding	113.635	107.631	110.86	109.589
NM_028057	chr1	134405990	134411738	+	1615	1	Cyb5r1|1500005G05Rik|B5R.1|C80155|Nqo3a2|-|1|1 E4|protein-coding	113.586	113.215	106.306	100.012
NM_030116	chr3	94443336	94448708	+	1592	1	Mrpl9|8030480E20Rik|AA409733|C330013D18Rik|L9mt|-|3|3 F2.1|protein-coding	113.512	118.526	123.494	121.695
NM_019661	chr11	5955758	5967781	+	2468	1	Ykt6|0610042I15Rik|1810013M05Rik|AW105923|-|11|11 A1|protein-coding	113.182	113.065	118.813	123.285
NM_146047	chr13	73604002	73620639	+	2359	1	Clptm1l|C130052I12Rik|Crr9|-|13|13 C1|protein-coding	113.17	111.513	112.839	110.572
NM_001080129	chr10	91147571	91171619	-	3559	1	Tmpo|5630400D24Rik|AI195756|AI606875|AW214352|AW547477|LAP2|TP|-|10 C2|10 45.66 cM|protein-coding	113.104	110.329	113.769	114.501
NM_008214	chr18	36766528	36783205	-	1974	1	Hars|MMHRS|-|18|18 B2|protein-coding	113.103	111.931	117.914	117.448
NM_013812	chr5	124345439	124354628	-	1244	1	Cdk2ap1|Apc10|Cdkap1|DORC1|Doc1|ST19|doc-1|p12|-|5|5 F|protein-coding	113.023	103.608	95.874	97.857
NM_001030307	chrX	75095854	75109776	+	2786	1	Dkc1|BC068171|-|X|X A7.3|protein-coding	113.009	111.123	101.325	101.57
NM_001163425	chr1	92637145	92641985	-	433	1	Myeov2|1110002M09Rik|Cops9|-|1|1 D|protein-coding	112.886	105.814	116.845	120.351
NM_001001806	chr17	84183928	84187947	-	3529	1	Zfp36l2|Brf2|ERF2|Tis11d|-|17|17 E4|protein-coding	112.803	105.2	114.994	120.119
NM_013768	chr14	54507182	54517470	-	2622	1	Prmt5|Jbp1|Skb1|-|14|14 C2|protein-coding	112.785	118.291	116.007	111.556
NM_001281816	chr2	144564899	144590753	+	2402	1	Sec23b|-|-|2|2 G1|protein-coding	112.76	105.06	102.153	107.485
NM_145573	chr6	147042770	147070902	+	1057	1	Mrps35|MDSO23|MRP-S28|MRPS28|-|6|6 G3|protein-coding	112.753	103.438	103.637	104.965
NM_028388	chr17	66078795	66101559	-	1530	1	Ndufv2|2900010C23Rik|-|17 35.26 cM|17 E1.1|protein-coding	112.662	113.067	114.397	119.485
NM_022996	chr18	38418975	38464406	+	927	1	Ndfip1|0610010M22Rik|N4wbp5|-|18|18 B3|protein-coding	112.591	101.931	103.092	106.387
NM_011787	chr8	93971588	94012640	-	3662	1	Amfr|gp78|-|8 C5|8 45.96 cM|protein-coding	112.475	115.918	111.564	113.882
NR_105846	chr5	137529480	137529594	-	114	1	Mir6418|Gm27629|mir-6418|mmu-mir-6418|-|5|5 G2|ncRNA	112.236	120.197	121.28	120.425
NM_008229	chr10	36974544	37001888	+	1988	1	Hdac2|D10Wsu179e|YAF1|Yy1bp|mRPD3|-|10 19.44 cM|10 B1|protein-coding	112.162	104.466	115.708	114.436
NM_019738	chr7	126623246	126625470	-	621	1	Nupr1|2310032H04Rik|Com1|p8|-|7|7 F3|protein-coding	112.048	125.955	124.776	117.979
NM_001164793	chr9	71478437	71484958	-	2166	1	Polr2m|AA407243|AA408799|AI303746|AW553238|D9Wsu138e|Grinl1a|mKIAA4185|-|9 D|9 39.85 cM|protein-coding	112.037	106.886	111.881	107.554
NM_008672	chr7	143513579	143549120	-	2295	1	Nap1l4|2810410H14Rik|AI316776|D7Wsu30e|Nap2|-|7 F5|7 88.24 cM|protein-coding	112.004	112.694	105.923	106.392
NM_008565	chr16	15623897	15637400	-	3571	1	Mcm4|19G|AI325074|AU045576|Cdc21|Mcmd4|mKIAA4003|mcdc21|-|16 A2|16 10.09 cM|protein-coding	111.959	107.2	106.706	106.31
NM_019822	chr2	180171588	180176283	+	1417	1	Adrm1|1110063P18Rik|2510006J17Rik|AA408205|ARM-1|AU043535|Arm1|Gp110|Rpn13|-|2|2 H4|protein-coding	111.906	116.846	117.622	117.249
NM_029278	chr5	34638536	34660148	-	2682	1	Nop14|2610033H07Rik|Nol14|-|5|5 B2|protein-coding	111.762	116.443	111.826	113.604
NM_207207	chr2	130563757	130565394	+	956	1	Mrps26|AI648866|GI008|MRP-S13|MRP-S26|Rpms13|-|2|2 F1|protein-coding	111.732	117.651	116.97	128.803
NM_134009	chr10	81486459	81496363	-	2863	1	Ncln|3100002P13Rik|AW120537|-|10|10 C1|protein-coding	111.626	117.009	122.003	120.661
NM_026820	chr7	140967429	140969827	+	671	1	Ifitm1|1110036C17Rik|DSPA2a|Mil-2|Mil2|-|7|7 F5|protein-coding	111.626	95.723	52.531	58.874
NM_028431	chr5	21737160	21757152	+	1581	1	Pmpcb|3110004O18Rik|MPP11|MPPB|MPPP52|-|5|5 A3|protein-coding	111.392	111.045	106.574	107.036
NM_029775	chr9	7184566	7207031	+	1191	1	Dcun1d5|3110001A18Rik|4833420K19Rik|AW060460|D430047L21Rik|-|9|9 A1|protein-coding	111.293	122.24	115.832	113.621
NM_025392	chr7	133709333	133721145	+	1235	1	Bccip|1110013J05Rik|TOK-1|-|7|7 F3|protein-coding	111.286	113.84	106.292	112.182
NM_080848	chr2	27515147	27536538	+	2887	1	Wdr5|2410008O07Rik|AA408785|AA960360|Big|Big-3|-|2|2 A3|protein-coding	111.047	104.961	96.465	98.308
NM_198102	chr6	49243921	49264052	-	1818	1	Tra2a|1500010G04Rik|AL022798|G430041M01Rik|mAWMS1|-|6|6 B2.3|protein-coding	111.025	108.346	110.649	115.043
NM_001038663	chr16	16983382	17039040	+	1922	1	Mapk1|9030612K14Rik|AA407128|AU018647|C78273|ERK|Erk2|MAPK2|PRKM2|Prkm1|p41mapk|p42mapk|-|16 A3|16 10.53 cM|protein-coding	111.002	109.984	101.5	102.987
NM_001310747	chr5	136982194	136986904	-	732	1	Znhit1|2700001K05Rik|ZNFN4A1|-|5|5 G2|protein-coding	110.965	112.705	122.252	127.838
NM_053163	chr13	73331009	73332178	+	898	1	Mrpl36|AI646041|-|13|13 C1|protein-coding	110.944	113.964	119.787	123.862
NM_026776	chr11	101253707	101259547	+	1096	1	Vps25|1110020N13Rik|AW107467|D11Wsu68e|-|11 D|11 64.48 cM|protein-coding	110.84	98.585	117.138	113.628
NM_009196	chr3	104638664	104658462	+	4423	1	Slc16a1|AL022710|Mct1|-|3|3 F2.2|protein-coding	110.707	110.334	107.999	104.961
NM_001165971	chr15	22713820	22714984	-	1162	1	Gm5803|EG545091|-|15|15 A2|protein-coding	110.606	107.972	108.524	102.111
NM_026911	chr14	30999826	31001666	-	1000	1	Spcs1|1810004F21Rik|-|14|14 B|protein-coding	110.554	108.192	121.85	121.735
NM_009270	chr15	59315092	59331193	+	2735	1	Sqle|AI323792|-|15|15 D1|protein-coding	110.49	105.367	99.659	107.305
NM_016692	chr19	9872297	9899533	-	3197	1	Incenp|2700067E22Rik|AU019509|C130081E20|C77457|-|19 A|19 6.1 cM|protein-coding	110.487	105.767	111.063	109.326
NM_001290725	chr4	132826924	132843169	-	2030	1	Ppp1r8|6330548N22Rik|AU044684|NIPP1|-|4|4 D2.3|protein-coding	110.478	106.664	110.769	112.828
NM_145620	chr9	106477309	106485415	+	1520	1	Rrp9|55kDa|D19435|D9Wsu10e|Rnu3ip2|U3-55k|-|9 F1|9 57.59 cM|protein-coding	110.282	118.507	107.653	109.396
NM_001301644	chr5	111330697	111388359	+	2782	1	Pitpnb|PI-TP-beta|-|5|5 F|protein-coding	110.277	109.744	106.441	110.679
NM_029748	chr4	129600707	129607879	+	754	1	Tmem234|1500002D11Rik|2510006D16Rik|4933407D05Rik|-|4|4 D2.2|protein-coding	110.206	113.392	110.021	106.086
NM_054102	chr1	151344498	151364445	+	3496	1	Ivns1abp|1190004M08Rik|1700126I16Rik|AA960440|HSPC068|ND1|NS-1|NS1-BP|Nd1-L|Nd1-S|mKIAA0850|-|1|1 G1|protein-coding	110.084	115.257	110.691	104.824
NM_026550	chr13	41001010	41013033	+	1741	1	Pak1ip1|5830431I15Rik|5930415H02Rik|AA419825|AI314040|AW556169|Gdpd1|PIP1|-|13|13 A3.3|protein-coding	109.908	108.874	105.943	106.774
NM_133719	chr17	25794571	25797045	-	1357	1	Metrn|1810034B16Rik|Hyrac|-|17|17 A3.3|protein-coding	109.65	112.862	106.476	112.523
NM_007681	chr5	30666886	30674837	+	1357	1	Cenpa|Cenp-A|-|5 B1|5 16.76 cM|protein-coding	109.544	104.237	102.11	109.942
NM_024459	chr11	17159298	17200380	+	2821	1	Ppp3r1|CaNB1|Cnb1|MCIP1|-|11|11 A2|protein-coding	109.517	106.911	106.854	105.822
NM_009320	chr6	91684067	91759063	+	6152	1	Slc6a6|AA589629|C80501|Taut|-|6 D1|6 40.73 cM|protein-coding	109.482	109.069	94.44	92.836
NM_028128	chr5	117379145	117389023	-	1717	1	Rfc5|2610020K06Rik|2610209F07Rik|36.5kDa|36kDa|Recc5|-|5|5 F|protein-coding	109.434	105.242	109.902	105.166
NR_029471	chr11	6172508	6173331	-	823	1	Rps15a-ps6|Gm11968|OTTMUSG00000005107|-|11|11 A1|pseudo	109.351	126.431	110.95	116.426
NM_145925	chr10	77581767	77598732	+	2239	1	Pttg1ip|1810010L20Rik|AI314311|AU018448|C79540|-|10|10 C1|protein-coding	109.348	98.428	93.169	92.973
NM_007725	chr10	79988600	79995400	+	1773	1	Cnn2|AA408047|AI324678|Calpo2|-|10|10 C1|protein-coding	109.221	99.745	82.951	80.117
NM_025439	chr1	136018001	136035030	+	1452	1	Tmem9|1500015G18Rik|AW545782|-|1|1 E4|protein-coding	109.209	108.918	127.03	128.894
NM_021567	chr9	106453838	106464011	+	2023	1	Pcbp4|1200003L19Rik|AlphaCP-4|-|9|9 F1|protein-coding	109.155	112.465	114.757	113.911
NM_133786	chr3	69004972	69034623	+	4056	1	Smc4|2500002A22Rik|C79747|SMC-4|Smc4l1|-|3|3 E1|protein-coding	109.028	104.024	100.015	103.752
NM_019766	chr10	128058982	128077254	+	1944	1	Ptges3|5730442A20Rik|Ptges|Tebp|cPGES|p23|sid3177|-|10|10 D3|protein-coding	109.006	109.62	109.495	101.605
NM_026530	chr17	56009201	56016783	+	1679	1	Mpnd|E130307M08Rik|-|17|17 D|protein-coding	109	109.324	113.565	116.808
NM_015807	chr11	115490426	115491814	-	797	1	Nt5c|Dnt|Dnt1|Umph-2|Umph2|-|11|11 E2|protein-coding	108.95	112.468	102.369	109.502
NM_009358	chr17	46682991	46705002	-	2909	1	Ppp2r5d|B'delta|TEG-271|Tex271|-|17 22.9 cM|17 C|protein-coding	108.922	112.705	115.06	109.892
NM_024177	chr11	116131817	116138868	-	1400	1	Mrpl38|1110036N21Rik|4733401F03Rik|MRP-L3|R75240|Rpml3|-|11|11 E2|protein-coding	108.849	106.133	100.602	109.867
NM_011496	chr11	69045637	69051664	+	1955	1	Aurkb|AIM-1|AIRK2|AL022959|Aik2|Aim1|Ark2|AurB|IPL1|STK-1|Stk12|Stk5|-|11 B3|11 42.32 cM|protein-coding	108.76	117.472	108.024	102.539
NM_026031	chr4	124678764	124693554	-	943	1	Utp11l|2700082D03Rik|CGI-94|Cgi94|Utp11|-|4|4 D2.2|protein-coding	108.394	90.06	93.287	92.994
NM_024188	chr15	4026428	4155344	+	3463	1	Oxct1|2610008O03Rik|Oxct|Oxct2a|Scot-s|-|15|15 A1|protein-coding	108.31	104.237	89.721	90.33
NM_026744	chr6	83109108	83109932	+	615	1	Mrpl53|1110007K17Rik|-|6|6 C3|protein-coding	108.232	112.562	112.653	112.524
NM_026389	chr11	78512296	78522736	+	1938	1	Poldip2|1300003F06Rik|Pdip38|-|11|11 B5|protein-coding	108.156	110.401	109.05	109.871
NM_007512	chr4	132530555	132535414	-	1485	1	Atpif1|Atpi|IF(1)|If1|-|4|4 D2.3|protein-coding	108.137	110.15	131.369	124.049
NR_002889	chr4	155946253	155957601	-	1181	2	Gm5801|EG545056|-|14 C3|14|pseudo	108.096	97.654	102.918	96.079
